'Cold-shock' DNA-binding domain	PF00313
Ciliary rootlet component, centrosome cohesion	PF15035
CinA	PF02464
Cir_Bir_Yir	PF06022
Cir_N	PF10197
Circadian oscillating protein COP23	PF14218
Circo_capsid	PF02443
Circovirus capsid protein	PF02443
Circovirus protein of unknown function (DUF765)	PF05570
Circovirus protein of unknown function (DUF782)	PF05614
Circularly permuted ATP-grasp type 2	PF14403
Circumsporozoite-related antigen (CRA)	PF06589
CitF	PF04223
CitG	PF01874
CitMHS	PF03600
CitMHS_2	PF16980
CitT	PF12431
CitX	PF03802
Citrate lyase ligase C-terminal domain	PF08218
Citrate lyase, alpha subunit (CitF)	PF04223
Citrate synthase, C-terminal domain	PF00285
Citrate transporter	PF03600
Citrate_bind	PF16114
Citrate_ly_lig	PF08218
Citrate_synt	PF00285
Citrus tristeza virus (CTV) P23 protein	PF04808
Citrus tristeza virus 6-kDa protein	PF06706
Citrus tristeza virus P13 protein	PF06922
Citrus tristeza virus P18 protein	PF05520
Citrus tristeza virus P33 protein	PF07184
Citrus_P18	PF05520
Class I Histocompatibility antigen, NKG2D ligand, domains 1 and 2	PF14586
Class I Histocompatibility antigen, domains alpha 1 and 2	PF00129
Class II Aldolase and Adducin N-terminal domain	PF00596
Class II MHC-associated invariant chain trimerisation domain	PF08831
Class II bacteriocin	PF01721
Class II flagellar assembly regulator	PF10768
Class II histocompatibility antigen, alpha domain	PF00993
Class II histocompatibility antigen, beta domain	PF00969
Class II histone deacetylase complex subunits 2 and 3	PF11496
Class II release factor RF3, C-terminal domain	PF16658
Class II vitamin B12-dependent ribonucleotide reductase	PF08471
Class III cytochrome C family	PF02085
Class III signal peptide	PF04021
Class-II DAHP synthetase family	PF01474
Class_IIIsignal	PF04021
Clat_adaptor_s	PF01217
Clathrin	PF00637
Clathrin adaptor complex small chain	PF01217
Clathrin light chain	PF01086
Clathrin propeller repeat	PF01394
Clathrin, heavy-chain linker	PF09268
Clathrin-H-link	PF13838
Clathrin-adaptor complex-3 beta-1 subunit C-terminal	PF14796
Clathrin-binding box of Aftiphilin, vesicle trafficking	PF15045
Clathrin-binding domain of Huntingtin-interacting protein 1	PF16515
Clathrin-link	PF09268
Clathrin_H_link	PF13838
Clathrin_bdg	PF15045
Clathrin_lg_ch	PF01086
Clathrin_propel	PF01394
Claudin_2	PF13903
Claudin_3	PF06653
Clavanin	PF05452
Clavanin	PF05452
Clc-like	PF07062
Clc-like	PF07062
Cleavage and polyadenylation factor 2 C-terminal	PF13299
Cleavage inducing molecular chaperone	PF14901
Cleavage site for pathogenic type III effector avirulence factor Avr	PF05627
Cleavage stimulation factor subunit 1, dimerisation domain	PF16699
Cleaved Adhesin Domain	PF07675
Cleaved_Adhesin	PF07675
Cleft lip and palate transmembrane protein 1 (CLPTM1)	PF05602
Clenterotox	PF03505
Cloacin	PF03515
Cloacin immunity protein	PF03513
Cloacin_immun	PF03513
Clock interacting protein circadian	PF15800
Closter_coat	PF01785
Closterovirus coat protein	PF01785
Clostridial binary toxin B/anthrax toxin PA	PF03495
Clostridial hydrophobic W	PF07538
Clostridial neurotoxin zinc protease	PF01742
Clostridium P-47 protein	PF06597
Clostridium botulinum HA-17 domain	PF05588
Clostridium enterotoxin	PF03505
Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2	PF03318
Clostridium neurotoxin, C-terminal receptor binding	PF07951
Clostridium neurotoxin, N-terminal receptor binding	PF07953
Clostridium neurotoxin, Translocation domain	PF07952
Clostridium_P47	PF06597
Clostripain family	PF03415
Clp amino terminal domain, pathogenicity island component	PF02861
Clp protease	PF00574
Clp1	PF06807
ClpB_D2-small	PF10431
ClpS	PF02617
ClpX C4-type zinc finger	PF06689
Clp_N	PF02861
Clr2	PF10383
Clr2_transil	PF16761
Clr5	PF14420
Clr5 domain	PF14420
Cluap1	PF10234
Clustered mitochondria	PF13236
Clusterin	PF01093
Clusterin	PF01093
Clusterin-associated protein-1	PF10234
Cm_res_leader	PF08077
Cmc1	PF08583
CmcI	PF04989
Cmyb_C	PF09316
Cna protein B-type domain	PF05738
Cna_B	PF05738
Cnd1	PF12717
Cnd1_N	PF12922
Cnd2	PF05786
Cnd3	PF12719
Cnl2/NKP2 family protein	PF09447
Cnl2_NKP2	PF09447
Cnn_1N	PF07989
CoA binding domain	PF02629
CoA binding domain	PF13380
CoA enzyme activase uncharacterised domain (DUF2229)	PF09989
CoA-binding domain	PF13727
CoA-ligase	PF00549
CoA-transferase family III	PF02515
CoA_binding	PF02629
CoA_binding_2	PF13380
CoA_binding_3	PF13727
CoA_trans	PF01144
CoA_transf_3	PF02515
Co_AT_N	PF12557
Coa1	PF08695
CoaE	PF01121
Coactivator-associated arginine methyltransferase 1 N terminal	PF11531
Coagulase	PF08764
Coagulation Factor V LSPD Repeat	PF06049
Coagulation Factor Xa inhibitory site	PF14670
Coagulin	PF02035
Coagulin	PF02035
Coat F domain	PF07875
CoatB	PF10389
Coat_F	PF07875
Coat_X	PF07552
Coatamer_beta_C	PF07718
Coatomer (COPI) alpha subunit C-terminus	PF06957
Coatomer WD associated region	PF04053
Coatomer beta C-terminal region	PF07718
Coatomer beta subunit appendage platform	PF14806
Coatomer epsilon subunit	PF04733
Coatomer gamma subunit appendage platform subdomain	PF08752
Coatomer subunit gamma-1 C-terminal appendage platform	PF16381
Coatomer_E	PF04733
Coatomer_WDAD	PF04053
Coatomer_b_Cpla	PF14806
Coatomer_g_Cpla	PF16381
Cob(I)alamin adenosyltransferase N terminal	PF12557
CobA_CobO_BtuR	PF02572
CobB/CobQ-like glutamine amidotransferase domain	PF07685
CobB/CobQ-like glutamine amidotransferase domain	PF13507
CobD/Cbib protein	PF03186
CobD_Cbib	PF03186
CobN-Mg_chel	PF02514
CobN/Magnesium Chelatase	PF02514
CobQ/CobB/MinD/ParA nucleotide binding domain	PF01656
CobS	PF02654
CobS_N	PF12556
CobT	PF06213
CobT_C	PF11775
CobU	PF02283
CobW/HypB/UreG, nucleotide-binding domain	PF02492
CobW_C	PF07683
Cob_adeno_trans	PF01923
Cobalamin adenosyltransferase	PF01923
Cobalamin biosynthesis central region	PF11761
Cobalamin biosynthesis protein CobT	PF06213
Cobalamin biosynthesis protein CobT VWA domain	PF11775
Cobalamin synthesis G C-terminus	PF01890
Cobalamin synthesis G N-terminal	PF11760
Cobalamin synthesis protein cobW C-terminal domain	PF07683
Cobalamin-5-phosphate synthase	PF02654
Cobalamin-independent synthase, Catalytic domain	PF01717
Cobalamin-independent synthase, N-terminal domain	PF08267
Cobalamin_bind	PF01122
Cobalt chelatase (CbiK)	PF06180
Cobalt transport protein	PF02361
Cobalt transport protein component CbiN	PF02553
Cobalt uptake substrate-specific transmembrane region	PF01891
Cobaltochelatase CobS subunit N terminal	PF12556
Cobinamide kinase / cobinamide phosphate guanyltransferase	PF02283
Cobl	PF09469
Cocaine and amphetamine regulated transcript protein (CART)	PF06373
CodY	PF06018
CodY GAF-like domain	PF06018
CodY helix-turn-helix domain	PF08222
Codanin-1 C-terminus	PF15296
Codanin-1_C	PF15296
Coenzyme A transferase	PF01144
Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus	PF04432
Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term	PF04422
Coenzyme PQQ synthesis protein D (PqqD)	PF05402
Coenzyme Q (ubiquinone) biosynthesis protein Coq4	PF05019
CofC	PF01983
Cofac_haem_bdg	PF04187
Cofactor of BRCA1 (COBRA1)	PF06209
Cofilin/tropomyosin-type actin-binding protein	PF00241
Cofilin_ADF	PF00241
Cohesin	PF00963
Cohesin domain	PF00963
Cohesin loading factor	PF10345
Cohesin_HEAT	PF12765
Cohesin_load	PF10345
CoiA	PF06054
Coiled	PF05710
Coiled coil	PF05710
Coiled coil protein 74, C terminal	PF14917
Coiled coil protein 84	PF14968
Coiled stalk of trimeric autotransporter adhesin	PF05662
Coiled-coil N-terminus of APC, dimerisation domain	PF16689
Coiled-coil N-terminus of cGMP-dependent protein kinase	PF16808
Coiled-coil and interaction region of P66A and P66B with MBD2	PF16563
Coiled-coil domain containing 32	PF14989
Coiled-coil domain containing protein (DUF2052)	PF09747
Coiled-coil domain of unknown function	PF14916
Coiled-coil domain-containing glutamate-rich protein family 1	PF15482
Coiled-coil domain-containing protein (DUF2037)	PF09762
Coiled-coil domain-containing protein 106	PF15794
Coiled-coil domain-containing protein 117	PF15810
Coiled-coil domain-containing protein 14	PF15254
Coiled-coil domain-containing protein 158	PF15921
Coiled-coil domain-containing protein 167	PF15188
Coiled-coil domain-containing protein 168	PF15804
Coiled-coil domain-containing protein 23	PF15674
Coiled-coil domain-containing protein 24 family	PF15669
Coiled-coil domain-containing protein 48	PF15799
Coiled-coil domain-containing protein 50  N-terminus	PF15295
Coiled-coil domain-containing protein 55 (DUF2040)	PF09745
Coiled-coil domain-containing protein 56	PF09813
Coiled-coil domain-containing protein 66	PF15236
Coiled-coil domain-containing protein 71L	PF15374
Coiled-coil domain-containing protein 73 family	PF15818
Coiled-coil protein 142	PF14923
Coiled-coil receptor-binding R-domain of colicin E2	PF11570
Coiled-coil region of CCDC155 or KASH	PF14662
Coiled-coil region of Oberon	PF16312
Coiled-coil region of centrosome protein CE290	PF16574
Coiled-coil regions of plant-specific actin-binding protein	PF16712
Coiled-coil_56	PF09813
Coilin N-terminus	PF15862
Coilin_N	PF15862
Col_cuticle_N	PF01484
Cold acclimation protein WCOR413	PF05562
Cold shock protein DEAD box A	PF12343
Cold-inducible protein YdjO	PF14169
Coleoptericin	PF06286
Coleoptericin	PF06286
Colicin	PF01024
Colicin C terminal ribonuclease domain	PF12106
Colicin D	PF11429
Colicin E1 (microcin) immunity protein	PF03526
Colicin Ia	PF11504
Colicin M	PF14859
Colicin V production protein	PF02674
Colicin immunity protein	PF03857
Colicin immunity protein / pyocin immunity protein	PF01320
Colicin pore forming domain	PF01024
Colicin-DNase	PF12639
Colicin-E5 Imm protein	PF11480
Colicin-like bacteriocin tRNase domain	PF03515
Colicin_C	PF12106
Colicin_D	PF11429
Colicin_Ia	PF11504
Colicin_M	PF14859
Colicin_Pyocin	PF01320
Colicin_V	PF02674
Colicin_im	PF03857
Colicin_immun	PF09204
Colipase	PF01114
Colipase, C-terminal domain	PF02740
Colipase, N-terminal domain	PF01114
Colipase-like	PF15083
Colipase-like	PF15083
Colipase_C	PF02740
Collagen	PF01391
Collagen binding domain	PF05737
Collagen triple helix repeat (20 copies)	PF01391
Collagen_bind	PF05737
Collagen_bind_2	PF12904
Collagen_mid	PF15984
Collagenase	PF01752
Collagenase	PF12392
Collagenase NC10 and Endostatin	PF06482
Collar	PF07484
Collectrin	PF16959
Colon cancer-associated protein Mic1-like	PF07035
ComA	PF02679
ComC	PF03047
ComFB	PF10719
ComG operon protein 7	PF14173
ComGF	PF15980
ComGG	PF14173
ComJ	PF11033
ComK	PF06338
ComK protein	PF06338
ComP_DUS	PF16732
ComX	PF05952
ComZ	PF10815
ComZ	PF10815
Com_YlbF	PF06133
Comm	PF15957
Commissureless	PF15957
Common central domain of tyrosinase	PF00264
Como_LCP	PF02247
Como_SCP	PF02248
CompInhib_SCIN	PF11546
Competence	PF03772
Competence protein	PF03772
Competence protein CoiA-like family	PF06054
Competence protein J (ComJ)	PF11033
Competence-damaged protein	PF02464
Complement Clr-like EGF-like	PF12662
Complementary sex determiner protein	PF11671
Complex 1 protein (LYR family)	PF05347
Complex I intermediate-associated protein 30 (CIA30)	PF08547
Complex1_30kDa	PF00329
Complex1_49kDa	PF00346
Complex1_51K	PF01512
Complex1_LYR	PF05347
Complex1_LYR-like	PF13232
Complex1_LYR-like	PF13233
Complex1_LYR_1	PF13232
Complex1_LYR_2	PF13233
Component of IIS longevity pathway SMK-1	PF04802
Con-6	PF10346
Conantokin-G mollusc-toxin	PF10550
Concanavalin A-like lectin/glucanases superfamily	PF13385
Condensation	PF00668
Condensation domain	PF00668
Condensin II complex subunit CAP-H2 or CNDH2, C-term	PF16858
Condensin II complex subunit CAP-H2 or CNDH2, N-terminal	PF06278
Condensin II non structural maintenance of chromosomes subunit	PF12422
Condensin complex subunit 2	PF05786
Condensin2nSMC	PF12422
Conidiation protein 6	PF10346
Conjugal transfer protein	PF03524
Conjugal transfer protein TraD	PF06412
Conjugal transfer protein TrbE	PF11100
Conjugal transfer protein TrbH	PF07283
Conjugative relaxosome accessory transposon protein	PF06122
Conjugative transposon protein TcpC	PF12642
Conjugative transposon protein TraO	PF10626
Connector enhancer of kinase suppressor of ras	PF10534
Connexin	PF00029
Connexin	PF00029
Connexin 40 C-terminal domain	PF16791
Connexin40_C	PF16791
Connexin43	PF03508
Connexin50	PF03509
Conotoxin	PF02950
Conotoxin	PF02950
Conotoxin I-superfamily	PF08088
Conotoxin O-superfamily	PF08087
Conotoxin T-superfamily	PF08097
Conotoxin TVIIA/GS family	PF08094
Cons_hypoth698	PF03601
Cons_hypoth95	PF03602
Conserved TM helix	PF05552
Conserved carboxylase domain	PF02436
Conserved hypothetical ATP binding protein	PF03029
Conserved hypothetical protein (DUF2461)	PF09365
Conserved hypothetical protein (Lin0512_fam)	PF09585
Conserved hypothetical protein 2217 (DUF2460)	PF09343
Conserved hypothetical protein 698	PF03601
Conserved hypothetical protein 95	PF03602
Conserved membrane protein YqhR	PF11085
Conserved mid region of cactin	PF10312
Conserved nitrate reductase-associated protein (Nitr_red_assoc)	PF09655
Conserved oligomeric complex COG6	PF06419
Conserved phage C-terminus (Phg_2220_C)	PF09524
Conserved protein (DUF2356)	PF10189
Conserved region in Nab1	PF04902
Conserved region in glutamate synthase	PF01645
Conserved region of Rad21 / Rec8 like protein	PF04824
Conserved region of unknown function on GLTSCR protein	PF15249
Consortin C-terminus	PF15281
Consortin_C	PF15281
Control of competence regulator ComK, YlbF/YmcA	PF06133
CooC_C	PF15976
Cooperator of PRMT5 family	PF15340
CopB	PF05275
CopC	PF04234
CopC domain	PF04234
CopD	PF05425
CopG antitoxin of type II toxin-antitoxin system	PF12441
CopG-like RHH_1 or ribbon-helix-helix domain, RHH_5	PF07878
CopG_antitoxin	PF12441
CopK	PF11525
Copine	PF07002
Copine	PF07002
Copper amine oxidase N-terminal domain	PF07833
Copper amine oxidase, N2 domain	PF02727
Copper amine oxidase, N3 domain	PF02728
Copper amine oxidase, enzyme domain	PF01179
Copper binding octapeptide repeat	PF03991
Copper binding periplasmic protein CusF	PF11604
Copper binding proteins, plastocyanin/azurin family	PF00127
Copper fist DNA binding domain	PF00649
Copper resistance protein B precursor (CopB)	PF05275
Copper resistance protein D	PF05425
Copper resistance protein K	PF11525
Copper transport outer membrane protein, MctB	PF11382
Copper type II ascorbate-dependent monooxygenase, C-terminal domain	PF03712
Copper type II ascorbate-dependent monooxygenase, N-terminal domain	PF01082
Copper-bind	PF00127
Copper-binding of amyloid precursor, CuBD	PF12924
Copper-fist	PF00649
Copper/zinc superoxide dismutase (SODC)	PF00080
Coprogen_oxidas	PF01218
Coproporphyrinogen III oxidase	PF01218
Coq4	PF05019
Cor1	PF04803
Cor1/Xlr/Xmr conserved region	PF04803
CorA	PF01544
CorA-like Mg2+ transporter protein	PF01544
CorC_HlyC	PF03471
Cordon-bleu ubiquitin-like domain	PF09469
Core binding factor beta subunit	PF02312
Core histone H2A/H2B/H3/H4	PF00125
Core-2/I-Branching enzyme	PF02485
Cornichon	PF03311
Cornichon protein	PF03311
Cornifin	PF02389
Cornifin (SPRR) family	PF02389
Corona nucleocapsid I protein	PF03187
Corona_3	PF04694
Corona_5a	PF06336
Corona_6B_7B	PF03262
Corona_7	PF02398
Corona_I	PF03187
Corona_M	PF01635
Corona_NS1	PF06145
Corona_NS2	PF04753
Corona_NS2A	PF05213
Corona_NS3b	PF03053
Corona_NS4	PF03905
Corona_NS8	PF12093
Corona_NSP4_C	PF16348
Corona_RPol_N	PF06478
Corona_S1	PF01600
Corona_S2	PF01601
Corona_nucleoca	PF00937
Coronavirus  endopeptidase C30	PF05409
Coronavirus 5a protein	PF06336
Coronavirus 6B/7B protein	PF03262
Coronavirus M matrix/glycoprotein	PF01635
Coronavirus NS2A protein	PF05213
Coronavirus NS8 protein	PF12093
Coronavirus NSP13	PF06460
Coronavirus ORF3 protein	PF04694
Coronavirus RPol N-terminus	PF06478
Coronavirus S1 glycoprotein	PF01600
Coronavirus S2 glycoprotein	PF01601
Coronavirus accessory protein 3a	PF11289
Coronavirus gene 5 protein	PF05528
Coronavirus non-structural protein NS2	PF04753
Coronavirus non-structural protein NS4	PF03905
Coronavirus nonstructural protein 4 C-terminus	PF16348
Coronavirus nonstructural protein NS1	PF06145
Coronavirus nucleocapsid protein	PF00937
Coronavirus polyprotein cleavage domain	PF12124
Coronavirus protein 7	PF02398
Coronavirus_5	PF05528
CortBP2	PF09727
Cortactin-binding protein-2	PF09727
Cortex-I_coil	PF09304
Cortexillin I, coiled coil	PF09304
Cortexin	PF11057
Cortexin of kidney	PF11057
Cortical protein marker for cell polarity	PF12768
Corticotropin ACTH domain	PF00976
Corticotropin-releasing factor binding protein (CRF-BP)	PF05428
Corticotropin-releasing factor family	PF00473
Costars	PF14705
Costars	PF14705
CotE	PF10628
CotH	PF08757
CotH protein	PF08757
CotJA	PF11007
CotJB	PF12652
CotJB protein	PF12652
Cotton fibre expressed protein	PF05553
Couple_hipA	PF13657
CoxIIa	PF08113
Coxiella burnetii protein of unknown function (DUF762)	PF05555
Coxiella burnetii protein of unknown function (DUF807)	PF05660
CpG binding protein zinc finger C terminal domain	PF12269
CpXC	PF14353
CpXC protein	PF14353
CpcD	PF01383
CpcD/allophycocyanin linker domain	PF01383
CpeS	PF09367
CpeS-like protein	PF09367
CpeT	PF06206
CpeT/CpcT family (DUF1001)	PF06206
Cpl-7	PF08230
Cpl-7 lysozyme C-terminal domain	PF08230
Cpn10	PF00166
Cpn60_TCP1	PF00118
CppA C-terminal	PF14507
CppA N-terminal	PF14506
CppA_C	PF14507
CppA_N	PF14506
Cpta_toxin	PF07254
CpxA_peri	PF16527
CrcB-like protein, Camphor Resistance (CrcB)	PF02537
CreA	PF05981
CreA protein	PF05981
CreD	PF06123
Creatinase/Prolidase N-terminal domain	PF01321
Creatinase/Prolidase N-terminal domain	PF16189
Creatinase_N	PF01321
Creatinase_N_2	PF16189
Creatininase	PF02633
Creatinine amidohydrolase	PF02633
Creb binding	PF09030
Creb_binding	PF09030
Cren7	PF11520
Cricket paralysis virus, VP4	PF11492
Crinivirus P26 protein	PF07416
Crinivirus_P26	PF07416
Cript	PF10235
Cripto_Frl-1_Cryptic (CFC)	PF09443
Crisp	PF08562
Crisp	PF08562
Crl	PF07417
Cro	PF09048
Cro	PF09048
Cro/C1-type HTH DNA-binding domain	PF13443
Crossover junction endodeoxyribonuclease RuvC	PF02075
Crp	PF00325
Crp-like helix-turn-helix domain	PF13545
CrtC	PF07143
CrtC N-terminal lipocalin domain	PF07143
Crust_neuro_H	PF03858
Crust_neurohorm	PF01147
Crustacean CHH/MIH/GIH neurohormone family	PF01147
Crustacean cuticle protein repeat	PF08140
Crustacean neurohormone H	PF03858
CryBP1	PF07029
CryBP1 protein	PF07029
Cryptochrome_C	PF12546
Cryptococcal mannosyltransferase 1	PF11735
Crystall	PF00030
Crystall_2	PF09076
Crystall_3	PF08964
Crystallin	PF00525
CsbD	PF05532
CsbD-like	PF05532
Cse1	PF08506
Cse1	PF08506
CsgE	PF10627
CsgF	PF10614
CsgG	PF03783
CsiD	PF08943
CsiD	PF08943
CsiV	PF10972
Csm1	PF12539
CsoS2_M	PF12288
CsoSCA	PF08936
CsrA	PF02599
CssAB	PF16831
CstA	PF02554
CstA_5TM	PF13722
CtIP_N	PF10482
CtaG_Cox11	PF04442
Ctf8	PF09696
Ctf8	PF09696
CtkA_N	PF16948
CtnDOT_TraJ	PF07863
Ctr	PF04145
Ctr copper transporter family	PF04145
CtsR	PF05848
Cu-binding_MopE	PF11617
Cu-oxidase	PF00394
Cu-oxidase_2	PF07731
Cu-oxidase_3	PF07732
Cu-oxidase_4	PF02578
Cu2_monoox_C	PF03712
Cu2_monooxygen	PF01082
Cu_amine_oxid	PF01179
Cu_amine_oxidN1	PF07833
Cu_amine_oxidN2	PF02727
Cu_amine_oxidN3	PF02728
Cu_bind_like	PF02298
Cucumber mosaic virus 1a protein C terminal	PF12503
Cucumber mosaic virus 1a protein family	PF12467
Cucumo_2B	PF03263
Cucumo_coat	PF00760
Cucumovirus coat protein	PF00760
Cucumovirus protein 2B	PF03263
Cul7	PF11515
Cullin	PF00888
Cullin binding	PF03556
Cullin family	PF00888
Cullin protein neddylation domain	PF10557
Cullin_Nedd8	PF10557
Cullin_binding	PF03556
Cupin	PF00190
Cupin	PF12852
Cupin domain	PF07883
Cupin superfamily (DUF985)	PF06172
Cupin superfamily protein	PF08007
Cupin-like domain	PF13621
Cupin_1	PF00190
Cupin_2	PF07883
Cupin_3	PF05899
Cupin_4	PF08007
Cupin_5	PF06172
Cupin_6	PF12852
Cupin_7	PF12973
Cupin_8	PF13621
Cupredoxin-like domain	PF13473
Cupredoxin_1	PF13473
Curli assembly protein CsgE	PF10627
Curli production assembly/transport component CsgG	PF03783
Curlin associated repeat	PF07012
Curlin_rpt	PF07012
Curto_V2	PF07325
Curto_V3	PF07436
Curtovirus V2 protein	PF07325
Curtovirus V3 protein	PF07436
CusF_Ec	PF11604
Cut12	PF11500
Cut8	PF08559
Cut8, nuclear proteasome tether protein	PF08559
CutA1	PF03091
CutA1 divalent ion tolerance protein	PF03091
CutC	PF03932
CutC family	PF03932
Cuticle protein	PF15955
Cuticle protein 7 isoform family	PF08184
Cuticle_1	PF08140
Cuticle_2	PF08184
Cuticle_3	PF11018
Cuticle_4	PF15955
Cutinase	PF01083
Cutinase	PF01083
Cwf15/Cwc15 cell cycle control protein	PF04889
CwfJ_C_1	PF04677
CwfJ_C_2	PF04676
Cwf_Cwc_15	PF04889
CxxCxxCC	PF03692
Cyanate lyase C-terminal domain	PF02560
Cyanate_lyase	PF02560
Cyanobacterial and plant NDH-1 subunit O	PF11910
Cyanobacterial and plastid NDH-1 subunit M	PF10664
CybS	PF05328
CybS, succinate dehydrogenase cytochrome B small subunit	PF05328
Cyc-maltodext_C	PF10438
Cyc-maltodext_N	PF09087
Cyclase	PF04199
Cyclase_polyket	PF04673
Cycle inhibiting factor (CIF)	PF16374
Cyclic nucleotide-binding domain	PF00027
Cyclic phosphodiesterase-like protein	PF07823
Cyclic-di-AMP receptor	PF06153
Cyclin	PF08613
Cyclin	PF08613
Cyclin C-terminal domain	PF16899
Cyclin, C-terminal domain	PF02984
Cyclin, N-terminal domain	PF00134
Cyclin-dependent kinase 2-associated protein	PF09806
Cyclin-dependent kinase 5 activator protein	PF03261
Cyclin-dependent kinase inhibitor	PF02234
Cyclin-dependent kinase inhibitor 2a p19Arf N-terminus	PF07392
Cyclin-dependent kinase inhibitor 3 (CDKN3)	PF05706
Cyclin-dependent kinase regulatory subunit	PF01111
Cyclin_C	PF02984
Cyclin_C_2	PF16899
Cyclin_N	PF00134
Cyclin_N2	PF16500
Cyclo-malto-dextrinase C-terminal domain	PF10438
Cyclodipeptide synthase	PF16715
Cyclohydrolase (MCH)	PF02289
Cyclomaltodextrinase, N-terminal	PF09087
Cyclophil_like	PF04126
Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	PF00160
Cyclophilin-like	PF04126
Cyclotide	PF03784
Cyclotide family	PF03784
Cyd operon protein YbgE (Cyd_oper_YbgE)	PF09600
Cyd_oper_YbgE	PF09600
Cylicin N-terminus	PF15241
Cylicin_N	PF15241
CymA	PF16941
Cypo_polyhedrin	PF05865
Cypovirus polyhedrin protein	PF05865
Cys-rich Gliadin N-terminal	PF13016
Cys/Met metabolism PLP-dependent enzyme	PF01053
CysG_dimeriser	PF10414
Cys_Met_Meta_PP	PF01053
Cys_knot	PF00007
Cys_rich_CPCC	PF14206
Cys_rich_CPXG	PF14255
Cys_rich_CWC	PF14375
Cys_rich_FGFR	PF00839
Cys_rich_KTR	PF14205
Cys_rich_VLP	PF14194
Cystatin	PF00031
Cystatin domain	PF00031
Cysteine dioxygenase type I	PF05995
Cysteine peptidase C108, N-terminal of ribosomal L27	PF04327
Cysteine rich repeat	PF00839
Cysteine rich repeat	PF02363
Cysteine-rich C-terminal 1 family	PF15845
Cysteine-rich CPCC	PF14206
Cysteine-rich CPXCG	PF14255
Cysteine-rich CWC	PF14375
Cysteine-rich D. radiodurans N terminus	PF05174
Cysteine-rich KTR	PF14205
Cysteine-rich TM module stress tolerance	PF12734
Cysteine-rich VLP	PF14194
Cysteine-rich acidic integral membrane protein precursor	PF07016
Cysteine-rich antifungal protein 2, defensin-like	PF10868
Cysteine-rich domain	PF02754
Cysteine-rich domain	PF10170
Cysteine-rich secretory protein family	PF00188
Cysteine-rich small domain	PF04071
Cysteine/serine-rich nuclear protein N-terminus	PF16019
Cystic fibrosis TM conductance regulator (CFTR), regulator domain	PF14396
Cystine-knot domain	PF00007
Cyt-b5	PF00173
CytB6-F_Fe-S	PF08802
Cyt_bd_oxida_I	PF01654
Cyt_bd_oxida_II	PF02322
Cyt_c_ox_IV	PF12270
Cytadhesin P30/P32	PF07271
CytadhesinP1	PF12378
Cytadhesin_P30	PF07271
Cytidine and deoxycytidylate deaminase zinc-binding region	PF00383
Cytidine and deoxycytidylate deaminase zinc-binding region	PF08211
Cytidylate kinase	PF02224
Cytidylate kinase-like family	PF13189
Cytidylate_kin	PF02224
Cytidylate_kin2	PF13189
Cytidyltransferase-related C-terminal region	PF16581
Cytidylyltransferase	PF02348
Cytidylyltransferase family	PF01148
Cytidylyltransferase-like	PF01467
CytoC_RC	PF02276
Cyto_heme_lyase	PF01265
Cytoadherence-linked asexual protein	PF03805
CytochromB561_N	PF09786
Cytochrom_B558a	PF05038
Cytochrom_B559	PF00283
Cytochrom_B559a	PF00284
Cytochrom_B561	PF03188
Cytochrom_B562	PF07361
Cytochrom_B_C	PF00032
Cytochrom_B_N_2	PF13631
Cytochrom_C	PF00034
Cytochrom_C1	PF02167
Cytochrom_C550	PF14495
Cytochrom_C552	PF02335
Cytochrom_CIII	PF02085
Cytochrom_C_2	PF01322
Cytochrom_C_asm	PF01578
Cytochrom_D1	PF02239
Cytochrom_NNT	PF03264
Cytochrom_c3_2	PF14537
Cytochrome B561, N terminal	PF09786
Cytochrome B6-F complex Fe-S subunit	PF08802
Cytochrome B6-F complex subunit 5	PF02529
Cytochrome B6-F complex subunit VI (PetL)	PF05115
Cytochrome C and Quinol oxidase polypeptide I	PF00115
Cytochrome C assembly protein	PF01578
Cytochrome C biogenesis protein	PF03918
Cytochrome C biogenesis protein transmembrane region	PF02683
Cytochrome C biogenesis protein transmembrane region	PF13386
Cytochrome C oxidase assembly factor 2	PF17051
Cytochrome C oxidase chain VIIB	PF05392
Cytochrome C oxidase copper chaperone (COX17)	PF05051
Cytochrome C oxidase subunit II, periplasmic domain	PF00116
Cytochrome C oxidase subunit II, transmembrane	PF09125
Cytochrome C oxidase subunit II, transmembrane domain	PF02790
Cytochrome C oxidase, cbb3-type, subunit III	PF13442
Cytochrome C oxidase, mono-heme subunit/FixO	PF02433
Cytochrome C'	PF01322
Cytochrome C1 family	PF02167
Cytochrome Cytochrome b558 alpha-subunit	PF05038
Cytochrome D1 heme domain	PF02239
Cytochrome P450	PF00067
Cytochrome P460	PF16694
Cytochrome b(C-terminal)/b6/petD	PF00032
Cytochrome b(N-terminal)/b6/petB	PF13631
Cytochrome b/b6/petB	PF00033
Cytochrome b5-like Heme/Steroid binding domain	PF00173
Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	PF00283
Cytochrome b562	PF07361
Cytochrome bd terminal oxidase subunit I	PF01654
Cytochrome bd terminal oxidase subunit II	PF02322
Cytochrome c	PF00034
