11p Partial Monosomy Syndrome	D017624
Deficiencies, GAA	D006009
Deficiencies, Galactocerebrosidase	D007965
Deficiencies, Galactosylceramide beta-Galactosidase	D007965
Deficiencies, GALC	D007965
Deficiencies, Gbe1	D006011
Deficiencies, Glucocerebrosidase	D005776
Deficiencies, Glucose-6-Phosphatase	D005953
Deficiencies, Glucose-6-Phosphate Dehydrogenase	D005955
Deficiencies, Glucosephosphatase	D005953
Deficiencies, Glucosephosphate Dehydrogenase	D005955
Deficiencies, Glycoasparaginase	D054880
Deficiencies, Glycogen Debrancher	D006010
Deficiencies, GM2 Activator	D049290
Deficiencies, GPD	D005955
Deficiencies, GUSB	D016538
Deficiencies, Hexosaminidase Activator	D049290
Deficiencies, HGPRT	D007926
Deficiencies, HLCS	D028922
Deficiencies, Holocarboxylase Synthetase	D028922
Deficiencies, Hypoxanthine Phosphoribosyltransferase	D007926
Deficiencies, IgA	D017098
Deficiencies, IgG	D017099
Deficiencies, Imidodipeptidase	D056732
Deficiencies, Labile Factor	D005166
Deficiencies, Lipase D	D008072
Deficiencies, LIPD	D008072
Deficiencies, Lipoprotein Lipase	D008072
Deficiencies, L-Lysine:NAD-Oxido-Reductase	D020167
Deficiencies, Lysine:Alpha-Ketoglutarate Reductase	D020167
Deficiencies, Lysosomal alpha-D-Mannosidase	D008363
Deficiencies, Magnesium	D008275
Deficiencies, Multiple Carboxylase	D009100
Deficiencies, Muscle Phosphofructokinase	D006014
Deficiencies, Muscle Phosphorylase	D006012
deficiencies, Myophosphorylase	D006012
Deficiencies, N-Acetylgalactosamine-4-Sulfatase	D009087
Deficiencies, N-Laurylsphingosine Deacylase	D055577
Deficiencies, Ornithine Transcarbamylase	D020163
Deficiencies, OTC	D020163
Deficiencies, Oxygen	D000860
Deficiencies, PCC	D056693
Deficiencies, Pfkm	D006014
Deficiencies, Potassium	D011191
Deficiencies, Prolidase	D056732
Deficiencies, Propionyl-CoA Carboxylase	D056693
Deficiencies, Protein	D011488
Deficiencies, Protein C	D020151
Deficiencies, Protein S	D018455
Deficiencies, Proteostasis	D057165
Deficiencies, Prothrombin	D007020
Deficiencies, Protoporphyrinogen Oxidase	D046350
Deficiencies, PYGM	D006012
Deficiencies, Riboflavin	D012257
Deficiencies, Sphingomyelinase	D052536
Deficiencies, Storage Pool	D010981
Deficiencies, Thiamine	D013832
Deficiencies, Total HPRT	D007926
Deficiencies, Vitamin A	D014802
Deficiencies, Vitamin B	D014804
Deficiencies, Vitamin B12	D014806
Deficiencies, Vitamin B6	D026681
Deficiencies, Vitamin C	D001206
Deficiencies, Vitamin D	D014808
Deficiencies, Vitamin E	D014811
Deficiencies, Vitamin K	D014813
Deficiencies, X-Linked Copper	D007706
Deficiency, Acid Alpha-Glucosidase	D006009
Deficiency, Acid Ceramidase	D055577
Deficiency, AGA	D054880
Deficiency, ALDOB	D005633
Deficiency, Aldolase B	D005633
Deficiency, alpha 1-Antitrypsin	D019896
Deficiency, alpha-Galactosidase A	D000795
Deficiency, alpha-LCAT	D007863
Deficiency, alpha-Mannosidase	D008363
Deficiency, Amylo-1,6-Glucosidase	D006010
Deficiency, Antithrombin 3	D020152
Deficiency, Antithrombin III	D020152
Deficiency, ARG1	D020162
Deficiency, Arginase	D020162
Deficiency, Arginino Succinase	D056807
Deficiency, Argininosuccinate Lyase	D056807
Deficiency, Argininosuccinate Synthetase	D020159
Deficiency, ARSB	D009087
Deficiency, Arylsulfatase B	D009087
Deficiency, ASA	D056807
Deficiency, Ascorbic Acid	D001206
Deficiency, ASL	D056807
Deficiency, Aspartylglucosamidase	D054880
Deficiency, ASS	D020159
Deficiency, B6 Vitamin	D026681
Deficiency, beta-Glucuronidase	D016538
Deficiency, Biotinidase	D028921
Deficiency, Brancher	D006011
Deficiency, BTD	D028921
Deficiency, Ceramidase	D055577
Deficiency, Ceramide Trihexosidase	D000795
Deficiency, Choline	D002796
Deficiency, Color Vision	D003117
Deficiency, Combined Carboxylase	D009100
Deficiency, Complete HPRT	D007926
Deficiency, Complex IV	D030401
Deficiency, Coproporphyrinogen Oxidase	D046349
Deficiency, Cox	D030401
Deficiency, Cytochrome-c Oxidase	D030401
Deficiency, Cytochrome c Oxidase	D030401
Deficiency, Cytochrome Oxidase	D030401
Deficiency, Debrancher	D006010
Deficiency, Dihydropyrimidine Dehydrogenase	D054067
Deficiency Disease	D003677
Deficiency Disease, Acid Maltase	D006009
Deficiency Disease, alpha-Fucosidase	D005645
Deficiency Disease, alpha Fucosidase	D005645
Deficiency Disease, alpha-L-Fucosidase	D005645
Deficiency Disease, alpha L Fucosidase	D005645
Deficiency Disease, Arginase	D020162
Deficiency Disease, Argininosuccinate Synthase	D020159
Deficiency Disease, Argininosuccinic Acid Synthase	D020159
Deficiency Disease, Betalipoprotein	D000012
Deficiency Disease, Complete HGPRT	D007926
Deficiency Disease, Fucosidase	D005645
Deficiency Disease, Galactosylceramidase	D007965
Deficiency Disease, Galactosylceramide-beta-Galactosidase	D007965
Deficiency Disease, Glucocerebrosidase	D005776
Deficiency Disease, GM2 Protein Activator	D049290
Deficiency Disease Hexosaminidase A	D013661
Deficiency Disease, Hexosaminidase A and B	D012497
Deficiency Disease, Hypoxanthine-Phosphoribosyl-Transferase	D007926
Deficiency Disease, Hypoxanthine Phosphoribosyl Transferase	D007926
Deficiency Disease, Lysosomal alpha-1,4-Glucosidase	D006009
Deficiency Disease, Mannosidase	D044904
Deficiency Disease, Ornithine Carbamoyltransferase	D020163
Deficiency Disease, Ornithine Transcarbamylase	D020163
Deficiency Disease, Pyruvate Carboxylase	D015324
Deficiency Diseases	D003677
Deficiency Diseases, alpha-Fucosidase	D005645
Deficiency Diseases, alpha-L-Fucosidase	D005645
Deficiency Diseases, Arginase	D020162
Deficiency Diseases, Betalipoprotein	D000012
Deficiency Diseases, Fucosidase	D005645
Deficiency Diseases, Galactosylceramidase	D007965
Deficiency Diseases, Galactosylceramide-beta-Galactosidase	D007965
Deficiency Diseases, Glucocerebrosidase	D005776
Deficiency Diseases, Hypoxanthine-Phosphoribosyl-Transferase	D007926
Deficiency Diseases, Mannosidase	D044904
Deficiency, DPD	D054067
Deficiency, F9	D002836
Deficiency, Factor 10	D005171
Deficiency, Factor 11	D005173
Deficiency, Factor 12	D005175
Deficiency, Factor 13	D005177
Deficiency, Factor 5	D005166
Deficiency, Factor 7	D005168
Deficiency, Factor Eleven	D005173
Deficiency, Factor Five	D005166
Deficiency, Factor II	D007020
Deficiency, Factor IX	D002836
Deficiency, Factor Seven	D005168
Deficiency, Factor Ten	D005171
Deficiency, Factor Thirteen	D005177
Deficiency, Factor Twelve	D005175
Deficiency, Factor V	D005166
Deficiency, Factor VII	D005168
Deficiency, Factor X	D005171
Deficiency, Factor XI	D005173
Deficiency, Factor XII	D005175
Deficiency, Factor XIII	D005177
Deficiency, Familial LPL	D008072
Deficiency, Folic Acid	D005494
Deficiency, Fructose-1,6-Biphosphate Aldolase	D005633
Deficiency, Fructose-1,6-Bisphosphatase	D015319
Deficiency, Fructose-1,6-Diphosphatase	D015319
Deficiency, Fructose-1-Phosphate Aldolase	D005633
Deficiency, Fructose-Biphosphatase	D015319
Deficiency, Fructosediphosphatase	D015319
Deficiency, G6PD	D005955
Deficiency, GAA	D006009
Deficiency, Galactocerebrosidase	D007965
Deficiency, Galactosylceramide beta-Galactosidase	D007965
Deficiency, GALC	D007965
Deficiency, Gbe1	D006011
Deficiency, GLA	D000795
Deficiency, Glucocerebrosidase	D005776
Deficiency, Glucose-6-Phosphatase	D005953
Deficiency, Glucose-6-Phosphate Dehydrogenase	D005955
Deficiency, Glucosephosphatase	D005953
Deficiency, Glucosephosphate Dehydrogenase	D005955
Deficiency, Glycoasparaginase	D054880
Deficiency, Glycogen Debrancher	D006010
Deficiency, GM2 Activator	D049290
Deficiency, GPD	D005955
Deficiency, GUSB	D016538
Deficiency, Hageman Factor	D005175
Deficiency, Hexosaminidase Activator	D049290
Deficiency, HGPRT	D007926
Deficiency, HLCS	D028922
Deficiency, Holocarboxylase Synthetase	D028922
Deficiency, Hypoxanthine Phosphoribosyltransferase	D007926
Deficiency, IgA	D017098
Deficiency, IgG	D017099
Deficiency, Imidodipeptidase	D056732
Deficiency, Labile Factor	D005166
Deficiency, LCAT	D007863
Deficiency, Lipase D	D008072
Deficiency, LIPD	D008072
Deficiency, Lipoprotein Lipase	D008072
Deficiency, L-Lysine:NAD-Oxido-Reductase	D020167
Deficiency, Lysine:Alpha-Ketoglutarate Reductase	D020167
Deficiency, Lysosomal alpha-D-Mannosidase	D008363
Deficiency, Magnesium	D008275
Deficiency, Multiple Carboxylase	D009100
Deficiency, Multiple Carboxylase, Late-Onset	D028921
Deficiency, Multiple Carboxylase, Neonatal Form	D028922
Deficiency, Muscle Phosphofructokinase	D006014
Deficiency, Muscle Phosphorylase	D006012
deficiency, Myophosphorylase	D006012
Deficiency, N-Acetylgalactosamine-4-Sulfatase	D009087
Deficiency, N-Laurylsphingosine Deacylase	D055577
Deficiency of Alpha-Glucosidase	D006009
Deficiency of Alpha Glucosidase	D006009
Deficiency of C1 Esterase Inhibitor	D056829
Deficiency of Glucose-6-Phosphate Dehydrogenase	D005955
Deficiency of Glucose 6 Phosphate Dehydrogenase	D005955
Deficiency of Guanine Phosphoribosyltransferase	D007926
Deficiency of Hypoxanthine Phosphoribosyltransferase	D007926
Deficiency, Ornithine Transcarbamylase	D020163
Deficiency, OTC	D020163
Deficiency, Oxygen	D000860
Deficiency, PCC	D056693
Deficiency, PDH	D015325
Deficiency, PDHC	D015325
Deficiency, Pfkm	D006014
Deficiency, Platelet Storage Pool	D010981
Deficiency, Potassium	D011191
Deficiency, Prolidase	D056732
Deficiency, Propionyl-CoA Carboxylase	D056693
Deficiency, Protein	D011488
Deficiency, Protein C	D020151
Deficiency, Protein S	D018455
Deficiency, Proteostasis	D057165
Deficiency, Prothrombin	D007020
Deficiency, PYGM	D006012
Deficiency, Pyruvate Carboxylase	D015324
Deficiency, Pyruvate Decarboxylase	D015325
Deficiency, Pyruvate Dehydrogenase	D015325
Deficiency, Riboflavin	D012257
Deficiency, Sphingomyelinase	D052536
Deficiency, Storage Pool	D010981
Deficiency, Stuart-Prower	D005171
Deficiency, Stuart Prower	D005171
Deficiency, Stuart-Prower Factor	D005171
Deficiency, Stuart Prower Factor	D005171
Deficiency Syndrome, Immunologic	D007153
Deficiency Syndrome, Immunological	D007153
Deficiency Syndrome, Leukocyte-Adhesion	D018370
Deficiency Syndrome, Leukocyte Adhesion	D018370
Deficiency Syndrome, Mannosidase	D044904
Deficiency Syndromes, Immunologic	D007153
Deficiency Syndromes, Immunological	D007153
Deficiency Syndromes, Leukocyte-Adhesion	D018370
Deficiency Syndromes, Mannosidase	D044904
Deficiency, Thiamine	D013832
Deficiency, Total HPRT	D007926
Deficiency, Vitamin A	D014802
Deficiency, Vitamin B	D014804
Deficiency, Vitamin B12	D014806
Deficiency, Vitamin B 12	D014806
Deficiency, Vitamin B6	D026681
Deficiency, Vitamin B 6	D026681
Deficiency, Vitamin C	D001206
Deficiency, Vitamin D	D014808
Deficiency, Vitamin E	D014811
Deficiency, Vitamin K	D014813
Deficiency, X-Linked Copper	D007706
Deficiency, Yang	D016711
Deficiency, Yin	D016710
Deformational Plagiocephalies	D049068
Deformational Plagiocephaly	D049068
Deforming Chondrodysplasia, Hereditary	D005097
Deforming Chondrodysplasias, Hereditary	D005097
Deformities	D000013
Deformities, Acquired Ear	D004426
Deformities, Acquired Foot	D005531
Deformities, Acquired Hand	D006227
Deformities, Acquired Joint	D016916
Deformities, Congenital Foot	D005532
Deformities, Congenital Hand	D006228
Deformities, Congenital Limb	D017880
Deformities, Dentofacial	D063169
Deformities, Equinus	D004863
Deformities, Foot	D005530
Deformities, Hand	D006226
Deformity	D000013
Deformity, Acquired Ear	D004426
Deformity, Acquired Foot	D005531
Deformity, Acquired Hand	D006227
Deformity, Acquired Joint	D016916
Deformity, Arnold-Chiari	D001139
Deformity, Congenital Foot	D005532
Deformity, Congenital Hand	D006228
Deformity, Congenital Limb	D017880
Deformity, Dentofacial	D063169
Deformity, Equinus	D004863
Deformity, Foot	D005530
Deformity, Hand	D006226
Degeneration, Age-Related Macular	D008268
Degeneration, Disc	D055959
Degeneration, Disk	D055959
Degeneration, Dry Macular	D057092
Degeneration, Frontotemporal Lobar	D057174
Degeneration, Hepatocerebral	D006527
Degeneration, Hepatolenticular	D006527
Degeneration, Intervertebral Disc	D055959
Degeneration, Intervertebral Disk	D055959
Degeneration, Macular	D008268
Degeneration, Nerve	D009410
Degeneration, Neurohepatic	D006527
Degeneration, Neuron	D009410
Degeneration, Nigrospinodentatal	D017827
Degeneration, Nissl	D012183
Degeneration, Olivopontocerebellar	D009849
Degeneration, Olivo-Ponto-Cerebellar	D009849
Degeneration, Paraneoplastic Cerebellar	D020362
Degeneration, Pigmentary Pallidal	D006211
Degeneration, Progressive Lenticular	D006527
Degeneration, Retinal	D012162
Degeneration, Retrograde	D012183
Degenerations, Age-Related Macular	D008268
Degenerations, Disc	D055959
Degenerations, Disk	D055959
Degenerations, Dry Macular	D057092
Degenerations, Frontotemporal Lobar	D057174
Degenerations, Hepatocerebral	D006527
Degenerations, Intervertebral Disc	D055959
Degenerations, Intervertebral Disk	D055959
Degenerations, Macular	D008268
Degenerations, Nerve	D009410
Degenerations, Neurohepatic	D006527
Degenerations, Neuron	D009410
Degenerations, Nigrospinodentatal	D017827
Degenerations, Olivopontocerebellar	D009849
Degenerations, Olivo-Ponto-Cerebellar	D009849
Degeneration, Spinocerebellar	D013132
Degeneration, Spino Cerebellar	D013132
Degeneration, Spino-Cerebellar	D013132
Degenerations, Retinal	D012162
Degenerations, Retrograde	D012183
Degenerations, Spinocerebellar	D013132
Degenerations, Spino Cerebellar	D013132
Degeneration, Striatonigral	D020955
Degenerations, Wet Macular	D057135
Degeneration Syndrome, Hepatolenticular	D006527
Degeneration Syndromes, Hepatolenticular	D006527
Degeneration, Wallerian	D014855
Degeneration, Wet Macular	D057135
Degenerative Arthritides	D010003
Degenerative Arthritis	D010003
Degenerative Condition, Neurologic	D019636
Degenerative Conditions, Neurologic	D019636
Degenerative Disease, Nervous System, Hereditary	D020271
Degenerative Diseases, Nervous System	D019636
Degenerative Diseases, Neurologic	D019636
Degenerative Hereditary Diseases, Nervous System	D020271
Degenerative Hereditary Disorders, Nervous System	D020271
Degenerative Myopia	D047728
Degenerative Myopias	D047728
Degenerative Neurologic Disease	D019636
Degenerative Neurologic Diseases	D019636
Degenerative Neurologic Disorder	D019636
Degenerative Neurologic Disorders	D019636
de Gerstmann, Syndrome	D005862
Degloving Injuries	D000069836
Degloving Injury	D000069836
Degloving Wound	D000069836
Degloving Wounds	D000069836
Deglutition Disorder	D003680
Deglutition Disorders	D003680
Degos Disease	D054853
Degos's Malignant Atrophic Papulosis	D054853
Degos Syndrome	D054853
Degradation, Disc	D055959
Degradation, Disk	D055959
Degradations, Disc	D055959
Degradations, Disk	D055959
Dehiscence, Surgical Wound	D013529
Dehydration	D003681
Dehydrogenase Deficiencies, Dihydropyrimidine	D054067
Dehydrogenase Deficiencies, Glucose-6-Phosphate	D005955
Dehydrogenase Deficiencies, Glucosephosphate	D005955
Dehydrogenase Deficiency, Dihydropyrimidine	D054067
Dehydrogenase Deficiency, Glucose-6-Phosphate	D005955
Dehydrogenase Deficiency, Glucosephosphate	D005955
Dejerine-Thomas Syndrome	D009849
Dejerine Thomas Syndrome	D009849
Del(4p) Syndrome	D054877
De Lange's Syndrome	D003635
De Lange Syndrome	D003635
Delayed Awakening from Anesthesia	D055191
Delayed Awakening, Post-Anesthesia	D055191
Delayed Awakening, Post Anesthesia	D055191
Delayed Awakening, Post-Procedural	D055191
Delayed Awakening, Post Procedural	D055191
Delayed Awakenings, Post-Anesthesia	D055191
Delayed Awakenings, Post-Procedural	D055191
Delayed Effects, Prenatal Exposure	D011297
Delayed Emergence from Anesthesia	D055191
Delayed Graft Function	D051799
Delayed Hypersensitivities	D006968
Delayed Hypersensitivity	D006968
Delayed Puberty	D011628
Delayed Recovery from Anesthesia	D055191
Delayed Regaining of Consciousness	D055191
Delayed Return of Consciousness	D055191
Del Castillo Syndrome	D054331
Deletion, Chromosome	D002872
Deletion Disorder, 11q	D054868
Deletion of Short Arm of Chromosome 5 Syndrome	D003410
Deletions, Chromosome	D002872
Deletion Syndrome, 11q-	D054868
Deletion Syndrome, 22q11	D058165
Deletion Syndrome, 5p	D003410
Deletion Syndromes, 22q11	D058165
Deletion Syndromes, 5p	D003410
Delirium	D003693
Delirium, Alcohol Withdrawal	D000430
Delirium, Anesthesia Emergence	D000071257
Delirium, Emergence	D000071257
Delirium Tremens	D000430
Delirium Tremens, Alcohol Withdrawal Induced	D000430
Delta Hepatitides, Chronic	D019701
Delta Hepatitis	D003699
Delta Hepatitis, Chronic	D019701
Delta Infection	D003699
Deltaretrovirus Infection	D006800
Deltaretrovirus Infections	D006800
delta-Thalassemia	D055538
delta Thalassemia	D055538
delta-Thalassemias	D055538
Dementia	D003704
Dementia, Alzheimer	D000544
Dementia, Alzheimer Type	D000544
Dementia, Alzheimer-Type (ATD)	D000544
Dementia Complex, Acquired Immune Deficiency Syndrome	D015526
Dementia Complex, AIDS	D015526
Dementia Complex, AIDS-Related	D015526
Dementia Complex, AIDS Related	D015526
Dementia, Frontotemporal	D057180
Dementia, Frontotemporal Lobe	D057180
Dementia, Frontotemporal Lobe (FLDEM)	D057180
Dementia, Frontotemporal, with Parkinsonism	D057180
Dementia, GRN-Related Frontotemporal	D057180
Dementia, Hereditary Dysphasic Disinhibition	D057180
Dementia, Hereditary Multi-Infarct Type	D046589
Dementia, Hereditary Multi Infarct Type	D046589
Dementia, HIV	D015526
Dementia, Lewy Body	D020961
Dementia, Multi-Infarct	D015161
Dementia, Multi Infarct	D015161
Dementia Multi-Infarct	D015161
Dementia Multi Infarct	D015161
Dementia, Multiinfarct	D015161
Dementia Multi-Infarcts	D015161
Dementia, Primary Senile Degenerative	D000544
Dementias	D003704
Dementias, Alzheimer	D000544
Dementia, Senile	D000544
Dementias, Frontotemporal	D057180
Dementias, Frontotemporal Lobe	D057180
Dementias, Frontotemporal Lobe (FLDEM)	D057180
Dementias, GRN-Related Frontotemporal	D057180
Dementias, HIV	D015526
Dementias, Multi-Infarct	D015161
Dementias, Multiinfarct	D015161
Dementias, Transmissible	D017096
Dementias, Ubiquitin-Positive Frontotemporal	D057180
Dementias, Vascular	D015140
Dementia, Transmissible	D017096
Dementia, Ubiquitin-Positive Frontotemporal	D057180
Dementia, Vascular	D015140
Dementia with Lobar Atrophy and Neuronal Cytoplasmic Inclusions	D020774
Demineralization, Tooth	D017001
Demise, Fetal	D005313
De Morsier Syndrome	D025962
Demyelinating Autoimmune Diseases, Central Nervous System	D020278
Demyelinating Autoimmune Diseases, CNS	D020278
Demyelinating Autoimmune Disorders, CNS	D020278
Demyelinating Central Nervous System Diseases, Hereditary	D020279
Demyelinating Disease	D003711
Demyelinating Disease, Autoimmune, CNS	D020278
Demyelinating Diseases	D003711
Demyelinating Diseases, Central Nervous System, Hereditary	D020279
Demyelinating Disorder	D003711
Demyelinating Disorders	D003711
Demyelinogenic Leukodystrophy	D038261
Dendritic Cell Sarcoma, Follicular	D054740
Dendritic Cell Sarcoma, Interdigitating	D054739
Dendritic Keratitides	D007635
Dendritic Keratitis	D007635
Dengue	D003715
Dengue, Classical	D003715
Dengue Fever	D003715
Dengue Fever, Classical	D003715
Dengue Hemorrhagic Fever	D019595
Dengue, Severe	D019595
Dengues, Severe	D019595
Dens in Dente	D003719
Dens in Dentes	D003719
Density Lipoproteinemia, Hyper-Low	D006938
Density Lipoproteinemias, Hyper-Low	D006938
Dental Abrasion	D014072
Dental Ankyloses	D020254
Dental Ankylosis	D020254
Dental Attrition	D019217
Dental Attritions	D019217
Dental Calculus	D003728
Dental Caries	D003731
Dental Decay	D003731
Dental Deposit	D003741
Dental Deposits	D003741
Dental Enamel Hypoplasia	D003744
Dental Fissure	D003750
Dental Fissures	D003750
Dental Fistula	D003751
Dental Fistulas	D003751
Dental Fluoroses	D009050
Dental Fluorosis	D009050
Dental Focal Infection	D005491
Dental Focal Infections	D005491
Dental Leakage	D003763
Dental Leakages	D003763
Dental Occlusions, Traumatic	D003769
Dental Occlusion, Traumatic	D003769
Dental Plaque	D003773
Dental Pulp Calcification	D003784
Dental Pulp Calcifications	D003784
Dental Pulp Disease	D003788
Dental Pulp Diseases	D003788
Dental Pulp Exposure	D003789
Dental Pulp Necroses	D003790
Dental Pulp Necrosis	D003790
Dental Root Cyst	D010509
Dental Root Cysts	D010509
Dental Wear	D057085
Dental Wears	D057085
Dentate Cerebellar Ataxia	D002527
Dentate Cerebellar Ataxias	D002527
Dentate Cerebellar Atrophies	D002527
Dentate Cerebellar Atrophy	D002527
Dentate Nucleus Syndrome, Ramsay Hunt	D002527
Dent Disease	D057973
Dente, Dens in	D003719
Dentes, Dens in	D003719
Dentigerous Cyst	D003803
Dentigerous Cysts	D003803
Dentin Dysplasia	D003805
Dentin Dysplasias	D003805
Dentine Hypersensitivities	D003807
Dentine Hypersensitivity	D003807
Dentine Sensitivities	D003807
Dentine Sensitivity	D003807
Dentin Hypersensitivities	D003807
Dentin Hypersensitivity	D003807
Dentinogenesis Imperfecta	D003811
Dentin, Secondary	D003809
Dentin Sensitivities	D003807
Dentin Sensitivity	D003807
Dentins, Secondary	D003809
Dentoalveolar Abscess, Apical	D010482
Dentoalveolar Abscesses, Apical	D010482
Dentoalveolar Ankyloses	D020254
Dentoalveolar Ankylosis	D020254
Dentoalveolar Cyst	D010509
Dentoalveolar Cysts	D010509
Dentofacial Deformities	D063169
Dentofacial Deformity	D063169
Dents Disease	D057973
Dent's Disease	D057973
Denture Stomatitides	D013282
Denture Stomatitis	D013282
Denys-Drash Syndrome	D030321
Denys Drash Syndrome	D030321
Dependence, Alcohol	D000437
Dependence, Heroin	D006556
Dependence, Morphine	D009021
Dependence, Opioid	D009293
Dependence, Opium	D000074607
Dependences, Opioid	D009293
de Pointes, Torsade	D016171
de Pointes, Torsades	D016171
Deposit, Amyloid	D058225
Deposit, Dental	D003741
Deposits, Amyloid	D058225
Deposits, Dental	D003741
Depressed Skull Fracture	D020204
Depressed Skull Fractures	D020204
Depression, Postnatal	D019052
Depression, Post-Natal	D019052
Depression, Postpartum	D019052
Depression, Post-Partum	D019052
Deprivation, Sleep	D012892
Deprivations, Sleep	D012892
De Quervain Disease	D053684
De Quervain's Disease	D053684
De Quervains Disease	D053684
De Quervain Stenosing Tenosynovitis	D053684
De Quervain Thyroiditis	D013968
Dercum Disease	D000274
Dercum, Morbus	D000274
Dercum's Disease	D000274
Dercums Disease	D000274
Dercums, Morbus	D000274
Dermal Hypoplasia, Focal	D005489
Dermal Hypoplasias, Focal	D005489
Dermatitides	D003872
Dermatitides, Allergic Contact	D017449
Dermatitides, Allergic Eczematous	D017449
Dermatitides, Atopic	D003876
Dermatitides, Contact	D003877
Dermatitides, Contagious Pustular	D004474
Dermatitides, Digital	D058066
Dermatitides, Eczematous	D004485
Dermatitides, Exfoliative	D003873
Dermatitides, Irritant	D017453
Dermatitides, Livedo-like	D065148
Dermatitides, Occupational	D009783
Dermatitides, Perioral	D019557
Dermatitides, Photoallergic	D017454
Dermatitides, Photoallergic Contact	D017454
Dermatitides, Photocontact	D017454
Dermatitides, Photosensitive Contact	D017454
Dermatitides, Phototoxic	D017484
Dermatitides, Phototoxic Contact	D017484
Dermatitides, Primary Irritant	D017453
Dermatitides, Radiation-Induced	D011855
Dermatitides, Rhus	D011040
Dermatitides, Seborrheic	D012628
Dermatitides, Toxicodendron	D011040
Dermatitis	D003872
Dermatitis, Adverse Drug Reaction	D003875
Dermatitis, Allergic Contact	D017449
Dermatitis, Allergic Eczematous	D017449
Dermatitis, Atopic	D003876
Dermatitis, Contact	D003877
Dermatitis, Contact, Allergic	D017449
Dermatitis, Contact, Photoallergic	D017454
Dermatitis, Contact, Photosensitive	D017454
Dermatitis, Contact, Phototoxic	D017484
Dermatitis, Contagious Pustular	D004474
Dermatitis, Digital	D058066
Dermatitis, Eczematous	D004485
Dermatitis Exfoliativa	D003873
Dermatitis, Exfoliative	D003873
Dermatitis Herpetiformis	D003874
Dermatitis, Irritant	D017453
Dermatitis, Livedo-like	D065148
Dermatitis Medicamentosa	D003875
Dermatitis, Nicolau Livedoid	D065148
Dermatitis, Occupational	D009783
Dermatitis Papillaris Capillitii	D000153
Dermatitis Papillaris Capillitius	D000153
Dermatitis, Perioral	D019557
Dermatitis, Photoallergic	D017454
Dermatitis, Photoallergic Contact	D017454
Dermatitis, Photocontact	D017454
Dermatitis, Photosensitive Contact	D017454
Dermatitis, Phototoxic	D017484
Dermatitis, Phototoxic Contact	D017484
Dermatitis, Primary Irritant	D017453
Dermatitis, Radiation-Induced	D011855
Dermatitis, Radiation Induced	D011855
Dermatitis, Rhus	D011040
Dermatitis, Seborrheic	D012628
Dermatitis Seborrheica	D012628
Dermatitis, Toxicodendron	D011040
Dermatitis Venenata	D003877
Dermatitis Verrucosa	D002862
Dermatofibrosarcoma	D018223
Dermatofibrosarcoma Protuberan	D018223
Dermatofibrosarcoma Protuberans	D018223
Dermatofibrosarcomas	D018223
Dermatolyses	D003483
Dermatolysis	D003483
Dermatomegaly	D003483
Dermatomycoses	D003881
Dermatomycosis	D003881
Dermatomyositis	D003882
Dermatophyte Infection	D003881
Dermatophyte Infections	D003881
Dermatophytoses	D014005
Dermatophytosis	D014005
Dermatoses	D012871
Dermatoses, Digitate	D010267
Dermatoses, Facial	D005148
Dermatoses, Foot	D005533
Dermatoses, Hand	D006229
Dermatoses, Leg	D007868
Dermatoses, Linear IgA	D062027
Dermatoses, Scalp	D012536
Dermatoses, Vesiculobullous	D012872
Dermatosis	D012871
Dermatosis, Digitate	D010267
Dermatosis, Facial	D005148
Dermatosis, Foot	D005533
Dermatosis, Hand	D006229
Dermatosis, Leg	D007868
Dermatosis, Linear IgA	D062027
Dermatosis, Neutrophilic, Febrile, Acute	D016463
Dermatosis, Scalp	D012536
Dermoid	D003884
Dermoid Cyst	D003884
Dermoid Cysts	D003884
Dermoids	D003884
Dermopathies, Nephrogenic Fibrosing	D054989
Dermopathy, Nephrogenic Fibrosing	D054989
Desmoid	D018222
Desmoids	D018222
Desmoplastic Fibroblastoma	D018220
Desmoplastic Fibroblastomas	D018220
Desmoplastic Fibroma	D018220
Desmoplastic Fibromas	D018220
Desmoplastic Small-Cell Tumor	D058405
Desmoplastic Small Cell Tumor	D058405
Desmoplastic Small-Cell Tumors	D058405
Desmoplastic Small Round Cell Tumor	D058405
Desmoplastic Small Round-Cell Tumor	D058405
Destombes-Rosai-Dorfman Syndrome	D015618
Destombes Rosai Dorfman Syndrome	D015618
Desulfovibrionaceae Infection	D045824
Desulfovibrionaceae Infections	D045824
Detachment, Retinal	D012163
Detachments, Retinal	D012163
Detachments, Vitreous	D020255
Detachment, Vitreous	D020255
Deterioration, Clinical	D000075902
Detrusor Underactivity	D000077295
Developmental Bone Disease	D001848
Developmental Bone Diseases	D001848
Developmental Defects, Neural Tube	D009436
Developmental Disorder, Speech or Language	D007805
Developmental Language Disorder	D007805
Developmental Language Disorders	D007805
Developmental Neural Tube Defects	D009436
Development Disorder, Intellectual	D008607
Development Disorder, Language	D007805
Development Disorders, Intellectual	D008607
Development Malformation, Cortical	D054220
Development Malformations, Cortical	D054220
Devic Disease	D009471
Device Migration, Intrauterine	D058736
Device Migrations, Intrauterine	D058736
Devic Neuromyelitis Optica	D009471
Devic Neuromyelitis Opticas	D009471
Devic's Disease	D009471
Devics Disease	D009471
Devic's Neuromyelitis Optica	D009471
Devics Neuromyelitis Optica	D009471
