(embryonic) hindbrain flexure	UBERON:0005820
cingulum of molar tooth	UBERON:0017614
cingulum of tooth	UBERON:0017295
cingulum of upper canine tooth	UBERON:0017312
cingulum of upper incisor tooth	UBERON:0017298
cingulum of upper jaw molar	UBERON:0017613
circle of Willis	UBERON:0003709
circuit part of central nervous system	UBERON:0024914
circular fissure	UBERON:0002713
circular layer of anal muscularis externa	UBERON:0001244
circular layer of gastric muscularis	UBERON:0008857
circular layer of muscularis externa of anal canal	UBERON:0001244
circular layer of muscularis propria of anal canal	UBERON:0001244
circular layer of small intestine muscularis propria	UBERON:0012401
circular muscle coat of small intestine	UBERON:0012401
circular muscle layer of anal canal	UBERON:0001244
circular muscle layer of esophagus	UBERON:0009960
circular muscle layer of muscular coat	UBERON:0012368
circular muscle layer of small intestine	UBERON:0012401
circular muscle layer of stomach	UBERON:0008857
circular muscle of small intestine	UBERON:0012401
circular nucleus of antherior hypothalamic nucleus	UBERON:0035596
circular sulcus (of reil)	UBERON:0002713
circular sulcus of insula	UBERON:0002713
circulatory organ	UBERON:0015228
circulatory system	UBERON:0001009
circulatory system dorsal vessel	UBERON:0015231
circulatory system elastic connective tissue	UBERON:0003613
circulatory system elastic tissue	UBERON:0003613
circulatory system textus connectivus elasticus	UBERON:0003613
circulatory vessel	UBERON:0015228
circuli	UBERON:2002051
circumferential ascending interneuron	UBERON:2005247
circumferential descending interneuron	UBERON:2005233
circumferential groove	UBERON:3010175
circumflex branch of left coronary artery	UBERON:0035422
circumflex coronary artery	UBERON:0035422
circumflex humeral nerve	UBERON:0001493
circumflex iliac vein	UBERON:0001360
circuminsular sulcus	UBERON:0002713
circumorbital series	UBERON:2000376
circumorbitals	UBERON:2000376
circumvallate papilla	UBERON:0000396
circumvallate papilla of tongue	UBERON:0000396
circumventricular organ	UBERON:0005408
circumventricular organ of neuraxis	UBERON:0005408
ciruclar insular sulcus	UBERON:0002713
cistern of Pecquet	UBERON:0005435
cistern of great cerebral vein	UBERON:0004052
cistern of lamina terminalis	UBERON:0002897
cisterna ambiens	UBERON:0004052
cisterna cerebellomedullaris lateralis	UBERON:0004051
cisterna cerebellomedullaris posterior	UBERON:0005974
cisterna chiasmatica	UBERON:0002898
cisterna chiasmatis	UBERON:0002898
cisterna chyli	UBERON:0005435
cisterna lamina terminalis	UBERON:0002897
cisterna magna	UBERON:0005974
cisterna pontis	UBERON:0004048
cisterna quadrigeminalis	UBERON:0004052
cisterna venae magnae cerebri	UBERON:0004052
clasper	UBERON:0010516
clasper plate	UBERON:0018315
claustral amygdaloid area	UBERON:0002729
claustrum	UBERON:0002023
claustrum bone	UBERON:2001592
claustrum cartilage	UBERON:2000637
claustrum diffusa	UBERON:0002729
claustrum of brain	UBERON:0002023
claustrum parvum	UBERON:0002729
clavicle	UBERON:0001105
clavicle blade	UBERON:4200032
clavicle bone	UBERON:0001105
clavicle bone primordium	UBERON:0010905
clavicle cartilage element	UBERON:0010843
clavicle pre-cartilage condensation	UBERON:0010844
clavicle primordium	UBERON:0010905
clavicula	UBERON:0001105
clavicular air sac	UBERON:0009948
clavicular facet	UBERON:4200078
clavotrapezius	UBERON:0014798
clavotrapezius muscle	UBERON:0014798
clavus	UBERON:4300012
claw	UBERON:0001705
claw of digit 1 of fore-paw	UBERON:0011273
claw of digit 1 of hind-paw	UBERON:0011278
claw of digit 2 of fore-paw	UBERON:0011274
claw of digit 2 of hind-paw	UBERON:0011279
claw of digit 3 of fore-paw	UBERON:0011275
claw of digit 3 of hind-paw	UBERON:0011280
claw of digit 4 of fore-paw	UBERON:0011276
claw of digit 4 of hind-paw	UBERON:0011281
claw of digit 5 of fore-paw	UBERON:0011277
claw of digit 5 of hind-paw	UBERON:0011282
claw of foot	UBERON:0009567
claw of hand	UBERON:0009565
claw of manus	UBERON:0009565
claw of pes	UBERON:0009567
claw of toe	UBERON:0009567
cleavage cavity	UBERON:0000090
cleavage stage	UBERON:0000107
cleaving embryo	UBERON:0007010
cleido-occipitalis	UBERON:0010948
cleido-occipitalis muscle	UBERON:0010948
cleidobrachial	UBERON:0011366
cleidobrachial muscle	UBERON:0011366
cleidobrachialis	UBERON:0011366
cleidobrachialis muscle	UBERON:0011366
cleidocephalic	UBERON:0011364
cleidocephalic muscle	UBERON:0011364
cleidocephalicus	UBERON:0011364
cleidocephalicus muscle	UBERON:0011364
cleidocervicalis	UBERON:0011251
cleidocervicalis muscle	UBERON:0011251
cleidooccipital	UBERON:0010948
cleidooccipital muscle	UBERON:0010948
cleithra	UBERON:0004741
cleithrum	UBERON:0004741
cleithrum bone	UBERON:0004741
cleithrum head	UBERON:4200033
cleithrum@fr	UBERON:0004741
clidoste	UBERON:2000452
climbing fiber	UBERON:2002185
clithra@fr	UBERON:0004741
clithrum@fr	UBERON:0004741
clitoral bone	UBERON:0006440
clitoral gland	UBERON:0005302
clitoral hood	UBERON:0005299
clitoral nerve	UBERON:0035650
clitoral prepuce	UBERON:0005299
clitoral smooth muscle	UBERON:0008331
clitoris	UBERON:0002411
clitoris bone	UBERON:0006440
clitoris crus	UBERON:0006640
clitoris glans	UBERON:0006653
clitoris nerve	UBERON:0035650
clitoris prepuce	UBERON:0005299
clitoris skin	UBERON:0005298
clitoris vein	UBERON:0003480
clivus	UBERON:0004108
clivus of fovea centralis	UBERON:0002823
clivus of macula lutea	UBERON:0002823
clivus of occipital bone	UBERON:0004108
cloaca	UBERON:0000162
cloaca lumen	UBERON:0012463
cloaca mucosa	UBERON:0012480
cloaca mucosa of organ	UBERON:0012480
cloaca mucous membrane	UBERON:0012480
cloaca organ mucosa	UBERON:0012480
cloaca serosa	UBERON:0012483
cloaca serous membrane	UBERON:0012483
cloaca submucosa	UBERON:0012482
cloacal bursa	UBERON:0011510
cloacal chamber	UBERON:0012463
cloacal coprodeum	UBERON:0012420
cloacal epithelium	UBERON:0012481
cloacal fold	UBERON:3001003
cloacal gland	UBERON:0012478
cloacal lumen	UBERON:0012463
cloacal membrane	UBERON:0006217
cloacal mucosa	UBERON:0012480
cloacal mucous membrane	UBERON:0012480
cloacal muscle	UBERON:0014783
cloacal opening	UBERON:0012464
cloacal papilla	UBERON:3010589
cloacal serosa	UBERON:0012483
cloacal sphincter	UBERON:0013501
cloacal submucosa	UBERON:0012482
cloacal urodeum	UBERON:0012421
cloacal vent	UBERON:0012464
cloacal villi	UBERON:0012485
cloacal villus	UBERON:0012485
closed anatomical space	UBERON:0012467
closed circulatory system	UBERON:0009055
clot	UBERON:0010210
clunis	UBERON:0013691
cluster of hairs	UBERON:1000018
cluster of meninges	UBERON:0010743
cnemial crest	UBERON:4200034
cnida	UBERON:0008277
cnidae	UBERON:0008277
cnidarian venom	UBERON:0008280
coagulated blood	UBERON:0010210
coagulating gland	UBERON:0008807
coat hair bulb	UBERON:0005932
coat hair cortex	UBERON:0002077
coat hair follicle	UBERON:0015252
coat of hair	UBERON:0010166
coat/hair cortex	UBERON:0002077
coccygeal nerve	UBERON:0009629
coccygeal nerve plexus	UBERON:0035768
coccygeal neural root	UBERON:0009634
coccygeal plexus	UBERON:0035768
coccygeal segment	UBERON:0001095
coccygeal segment of spinal cord	UBERON:0005845
coccygeal segments of spinal cord [1-3]	UBERON:0005845
coccygeal skeleton	UBERON:0001350
coccygeal spinal nerve	UBERON:0009629
coccygeal spinal nerve root	UBERON:0009634
coccygeal vertebra	UBERON:0001095
coccygeal vertebra cartilage element	UBERON:0013503
coccygeal vertebra element	UBERON:0018142
coccygeal vertebra pre-cartilage condensation	UBERON:0013504
coccygeal vertebrae I-IV	UBERON:0001350
coccygeal vertebral cartilage condensation group	UBERON:0013503
coccygeus	UBERON:0001327
coccygeus muscle	UBERON:0001327
coccyx	UBERON:0001350
coccyx [coccygeal vertebrae I-IV]	UBERON:0001350
coccyx [vertebrae coccygeae I-IV]	UBERON:0001350
coccyx vertebra element	UBERON:0018142
cochlea	UBERON:0001844
cochlea apex	UBERON:0002819
cochlea basement membrane	UBERON:0011922
cochlea duct	UBERON:0001855
cochlea modiolus	UBERON:0006723
cochlear VIII nucleus	UBERON:0001720
cochlear basement membrane	UBERON:0011922
cochlear canal	UBERON:0006106
cochlear duct	UBERON:0001855
cochlear duct epithelial tissue	UBERON:0003243
cochlear duct epithelium	UBERON:0003243
cochlear duct of membranous labyrinth	UBERON:0001855
cochlear duct of membranous labyrinth epithelial tissue	UBERON:0003243
cochlear duct of membranous labyrinth epithelium	UBERON:0003243
cochlear ganglion	UBERON:0000395
cochlear labyrinth	UBERON:0002499
cochlear modiolus	UBERON:0006723
cochlear nerve	UBERON:0004727
cochlear nuclear complex	UBERON:0002610
cochlear nuclear complex segment	UBERON:0002621
cochlear nuclei	UBERON:0002610
cochlear nucleus	UBERON:0001720
cochlear nucleus of acoustic nerve	UBERON:0001720
cochlear nucleus of eighth cranial nerve	UBERON:0001720
cochlear part of bony labyrinth	UBERON:0001844
cochlear part of vestibulocochlear ganglion	UBERON:0000395
cochlear root of acoustic nerve	UBERON:0004727
cochlear root of eighth cranial nerve	UBERON:0004727
cochlear spiral organ	UBERON:0002227
cochlear-vestibular nerve	UBERON:0001648
cochleovestibular nerve	UBERON:0001648
cocoon	UBERON:0013198
coelemic cavity lumen	UBERON:0002323
coeliac artery	UBERON:0001640
coeliac ganglion	UBERON:0002262
coeliac node	UBERON:0002508
coeliac plexus	UBERON:0002010
coeliac trunk	UBERON:0006637
coeliaco-mesenteric artery	UBERON:3010499
coeliaco-mesenteric trunk	UBERON:0006637
coelom	UBERON:0011997
coelomic cavity	UBERON:0002323
coelomic cavity lumen	UBERON:0002323
coelomic epithelium	UBERON:0005891
coffin bone	UBERON:0014485
coffin joint	UBERON:0014506
coiled colon	UBERON:0010239
colic artery	UBERON:0035548
colic flexure	UBERON:0022275
collagen and cuticulin-based cuticle	UBERON:0003049
collagenous dermal stroma	UBERON:2001186
collar bone	UBERON:0001105
collar nerve cord	UBERON:0035602
collarbone	UBERON:0001105
collateral fissure	UBERON:0002716
collateral ganglion	UBERON:0003964
collateral sulcus	UBERON:0002716
collecting duct	UBERON:0001232
collecting duct of metanephros	UBERON:0004737
collecting duct of renal tubule	UBERON:0001232
collecting duct of renal tubule epithelium	UBERON:0014388
collecting duct system	UBERON:0004100
collection of basal ganglia	UBERON:0010011
collection of collagen fibrils	UBERON:0011860
collection of eyelashes	UBERON:0010168
collection of feathers	UBERON:0011810
collection of hair on external ear	UBERON:1000004
collection of hair on face	UBERON:0010165
collection of hair on forehead	UBERON:1000006
collection of hair on snout	UBERON:1000020
collection of hairs	UBERON:0010164
collection of hairs on head or neck	UBERON:0014382
collection of hairs on vertex	UBERON:1000001
colliculi	UBERON:0002259
colliculus of caudate nucleus	UBERON:0001882
colloid of thyroid follicle	UBERON:0012364
collum anatomicum (Humerus)	UBERON:4200172
collum anatomicum humeri	UBERON:4200172
collum antibrachii	UBERON:3000787
collum costae	UBERON:0003253
collum ilei	UBERON:3000872
collum radii	UBERON:0000199
collum vesicae	UBERON:0001258
collumn dentis	UBERON:0015181
colon	UBERON:0001155
colon ascendens	UBERON:0001156
colon descendens	UBERON:0001158
colon endothelium	UBERON:0013695
colon epithelial tissue	UBERON:0000397
colon epithelium	UBERON:0000397
colon lumen	UBERON:0007159
colon mesentery	UBERON:0003396
colon mucosa	UBERON:0000317
colon mucous membrane	UBERON:0000317
colon serosa	UBERON:0003335
colon serous membrane	UBERON:0003335
colon submucosa	UBERON:0003331
colon transversum	UBERON:0001157
colonic crypt	UBERON:0013485
colonic crypt of lieberkuhn	UBERON:0013485
colonic epithelium	UBERON:0000397
colonic lamina propria	UBERON:0007177
colonic mucosa	UBERON:0000317
colonic mucous membrane	UBERON:0000317
colonic muscularis propria	UBERON:0012489
colonic serosa	UBERON:0003335
colonic submucosa	UBERON:0003331
colorectal mucosa	UBERON:0013067
colorectum	UBERON:0012652
colostrum	UBERON:0001914
columella nasi	UBERON:0008341
column of Bertini	UBERON:0001284
column of Goll	UBERON:0002653
column of Morgagni	UBERON:0009882
column of Turck	UBERON:0002760
column of fornix	UBERON:0004680
columna Bertini	UBERON:0001284
columna fornicis	UBERON:0004680
columna fornicis anterior	UBERON:0002940
columna grisea anterior medullae spinalis	UBERON:0002257
columna grisea intermedia medullare spinalis	UBERON:0004676
columna grisea posterior medullae spinalis	UBERON:0002256
columna vertebralis thoracicus	UBERON:0006073
columnar area	UBERON:4200224
columnar epithelium	UBERON:0012274
columnella	UBERON:0008283
columnella muscle	UBERON:0008284
columns of fornix	UBERON:0004680
comb	UBERON:0012176
comb and wattle	UBERON:0007623
comb bundle	UBERON:0014169
comma-shaped body	UBERON:0004198
commissura alba posterior medullae spinalis	UBERON:0007840
commissura anterior, crus anterius	UBERON:0003039
commissura anterior, crus posterius	UBERON:0003043
commissura anterior, pars anterior	UBERON:0003039
commissura anterior, pars olfactoria	UBERON:0003039
commissura anterior, pars posterior	UBERON:0003043
commissura cerebelli	UBERON:0006847
commissura grisea anterior medullae spinalis	UBERON:0014630
commissura grisea posterior medullae spinalis	UBERON:0014631
commissura habenularum	UBERON:0001909
commissura hippocampi	UBERON:0000908
commissura prostatae	UBERON:0001329
commissura rostral, pars dorsalis	UBERON:2000638
commissura rostral, pars ventralis	UBERON:2000185
commissura rostralis	UBERON:0000935
commissura rostralis, pars anterior	UBERON:0003039
commissura rostralis, pars posterior	UBERON:0003043
commissura supraoptica dorsalis	UBERON:0002697
commissura supraoptica ventralis	UBERON:0002676
commissura terminales of hyoid apparatus	UBERON:3010828
commissural bifurcating longitudinal	UBERON:2005230
commissural cusp of mitral valve	UBERON:0014853
commissural leaflet of mitral valve	UBERON:0014853
commissural longitudinal ascending interneuron	UBERON:2005234
commissural nucleus of spinal cord	UBERON:0034771
commissural nucleus of the solitary tract	UBERON:0023855
commissural nucleus of vagus nerve	UBERON:0002868
commissural nucleus-1	UBERON:0002868
commissure habenularum	UBERON:0001909
commissure of Gudden	UBERON:0002676
commissure of Meynert	UBERON:0002697
commissure of anterior colliculus	UBERON:0002583
commissure of anterior corpus quadrigeminum	UBERON:0002583
commissure of caudal colliculus	UBERON:0003028
commissure of cerebellum	UBERON:0006847
commissure of cranial colliculus	UBERON:0002583
commissure of diencephalon	UBERON:0011590
commissure of forel	UBERON:0002991
commissure of fornix of forebrain	UBERON:0000908
commissure of held	UBERON:0002952
commissure of inferior colliculi	UBERON:0003028
commissure of inferior colliculus	UBERON:0003028
commissure of neuraxis	UBERON:0001020
commissure of optic tectum	UBERON:0002583
commissure of posterior colliculus	UBERON:0003028
commissure of posterior corpus quadrigeminum	UBERON:0003028
commissure of prostate	UBERON:0001329
commissure of superior colliculi	UBERON:0002583
commissure of superior colliculus	UBERON:0002583
commissure of telencephalon	UBERON:0019294
commissure of the secondary gustatory nuclei	UBERON:2000639
commissure y	UBERON:0002991
common annular tendon	UBERON:0014796
common anular tendon	UBERON:0014796
common atrial chamber	UBERON:0006218
common bile duct	UBERON:0001174
common bile duct mucosa	UBERON:0005000
common bile duct mucosa of organ	UBERON:0005000
common bile duct mucous membrane	UBERON:0005000
common bile duct organ mucosa	UBERON:0005000
common bile duct submucosa	UBERON:0004939
common bile ductal mucosa	UBERON:0005000
common bile ductal submucosa	UBERON:0004939
common cardinal vein	UBERON:0002064
common cardinal vein left	UBERON:0009769
common cardinal vein right	UBERON:0009138
common carotid arterial trunk	UBERON:0010197
common carotid artery	UBERON:0001530
common carotid artery plus branches	UBERON:0001530
common crus	UBERON:2005411
common crus of semicircular duct	UBERON:0013764
common dorsal aorta	UBERON:0005599
common fibular nerve	UBERON:0001324
common hepatic artery	UBERON:0005436
common hepatic duct	UBERON:0001175
common hepatic duct mucosa	UBERON:0005001
common hepatic duct mucosa of organ	UBERON:0005001
common hepatic duct mucous membrane	UBERON:0005001
common hepatic duct organ mucosa	UBERON:0005001
common hepatic duct submucosa	UBERON:0004940
common hepatic ductal mucosa	UBERON:0005001
common hepatic ductal submucosa	UBERON:0004940
common iliac arterial tree	UBERON:0001191
common iliac artery	UBERON:0001191
common iliac lymph node	UBERON:0015878
common iliac node	UBERON:0015878
common iliac vein	UBERON:0001139
common iliac venous tree	UBERON:0001139
common membranous limb of membranous semicircular ducts	UBERON:0013764
common membranous limb of semicircular ducts	UBERON:0013764
common nasal meatus	UBERON:0015221
common palmar digital arteries	UBERON:0001410
common palmar digital artery	UBERON:0001410
common palmar digital vein	UBERON:0001412
common palmar digital venous tributary	UBERON:0004561
common penile artery	UBERON:0008320
common peroneal nerve	UBERON:0001324
common plantar digital arteries	UBERON:0002455
common plantar digital arteries set	UBERON:0002455
common plantar digital vein	UBERON:0006142
common plantar vein	UBERON:0006142
common tendinous ring	UBERON:0014796
common tendon of quadriceps femoris	UBERON:0014848
communicating artery	UBERON:0006347
communicating branch of spinal nerve	UBERON:0017642
communicating vessel palatocerebral artery	UBERON:2005051
communicating vessels	UBERON:2005051
compact bone	UBERON:0001439
compact bone of diaphysis	UBERON:0016423
compact bone of humerus	UBERON:0004109
compact bone of long bone	UBERON:0016422
compact bone tissue	UBERON:0001439
compact cardiac ventricle muscle	UBERON:0004127
compact layer of ventricle	UBERON:0004127
compact part of substantia nigra	UBERON:0001965
compact subepicardial layer	UBERON:0004125
complexus juxtaglomerularis	UBERON:0002303
complexus stimulans cordis	UBERON:0002350
composite part spanning multiple base regional parts of brain	UBERON:0022776
compound cell cluster organ	UBERON:0014732
compound eye	UBERON:0000018
compound eye corneal lens	UBERON:0000207
compound organ	UBERON:0003103
compound organ component	UBERON:0000471
compressor glandulae muscle	UBERON:0013114
conceptus	UBERON:0004716
conceptus cardiovascular system	UBERON:0011695
concha auriculae	UBERON:0006203
concha nasi suprema	UBERON:0005919
concha of auricle	UBERON:0006203
concha of pinna	UBERON:0006203
conchal part of pinna	UBERON:0006203
conchosphénocïde@fr	UBERON:0002478
concurrent branch afferent branchial artery	UBERON:2005013
conducting system of heart	UBERON:0002350
conducting tissue of heart	UBERON:0010131
condylar joint	UBERON:0011866
condylar process of mandible	UBERON:0004657
condyle	UBERON:0009979
condyle of femur	UBERON:0009980
condyle of humerus	UBERON:0009988
condyle of the mandible	UBERON:0004657
condyle of tibia	UBERON:0009989
condylus	UBERON:0009979
condylus femoralis	UBERON:0009980
condylus femoris	UBERON:0009980
condylus humeri	UBERON:0009988
condylus lateralis (tibia)	UBERON:0009991
condylus lateralis femoris	UBERON:0009985
condylus lateralis tibiae	UBERON:0009991
condylus medialis (tibia)	UBERON:0009990
condylus medialis femoris	UBERON:0009984
condylus medialis tibiae	UBERON:0009990
conical papilla	UBERON:0023541
conjoint ramus	UBERON:0014440
conjunctiva	UBERON:0001811
conjunctiva epithelium	UBERON:0006763
conjunctiva fornix	UBERON:0010307
conjunctiva serous sac	UBERON:0005908
conjunctiva subdivision	UBERON:0010305
conjunctivae	UBERON:0001811
conjunctival epithelium	UBERON:0006763
conjunctival fornix	UBERON:0010307
conjunctival sac	UBERON:0005908
conjunctival sac cavity	UBERON:0015155
conjunctival space	UBERON:0015155
conjunctival vasculature	UBERON:0010366
conjunctival vein	UBERON:0010367
conjunctival veins	UBERON:0010366
conjunctival veins set	UBERON:0010366
conjunctivas	UBERON:0001811
connected anatomical system	UBERON:0000467
connected biological structure	UBERON:0000061
connecting stalk	UBERON:0007806
connecting stalk blood islands	UBERON:0011921
connecting stalk blood vessels	UBERON:0007807
connecting stalk mesoderm	UBERON:0005667
connecting stalk vasculature	UBERON:0007807
connecting tubule	UBERON:0005097
connective tissue	UBERON:0002384
connective tissue layer of tympanic membrane	UBERON:0010070
connective tissue of abdomen	UBERON:0003567
connective tissue of abdominal segment of trunk	UBERON:0003838
connective tissue of adult head	UBERON:0003566
connective tissue of ankle	UBERON:0003596
connective tissue of anterior thoracic region	UBERON:0003572
connective tissue of anteriormost limb	UBERON:0003588
connective tissue of anterolateral part of thorax	UBERON:0003572
connective tissue of apparatus respiratorius	UBERON:0003570
connective tissue of arm	UBERON:0003573
connective tissue of blepharon	UBERON:0003581
connective tissue of brachial region	UBERON:0003573
connective tissue of bronchi	UBERON:0003592
connective tissue of bronchial trunk	UBERON:0003592
connective tissue of bronchus	UBERON:0003592
connective tissue of bronchus principalis	UBERON:0003590
connective tissue of carpal region	UBERON:0003575
connective tissue of cavity of chest	UBERON:0003593
connective tissue of cavity of thorax	UBERON:0003593
connective tissue of chest	UBERON:0003572
connective tissue of chest cavity	UBERON:0003593
connective tissue of cubital region	UBERON:0003574
connective tissue of dermis	UBERON:0003585
connective tissue of digit of foot	UBERON:0003578
connective tissue of digit of hand	UBERON:0003597
connective tissue of digitus manus	UBERON:0003597
connective tissue of digitus pedis	UBERON:0003578
connective tissue of elbow	UBERON:0003574
connective tissue of eyelid	UBERON:0003581
connective tissue of finger	UBERON:0003597
connective tissue of foot	UBERON:0003595
connective tissue of foot digit	UBERON:0003578
connective tissue of fore limb	UBERON:0003588
connective tissue of forelimb	UBERON:0003588
connective tissue of front of thorax	UBERON:0003572
connective tissue of hand	UBERON:0003598
connective tissue of hand digit	UBERON:0003597
connective tissue of head	UBERON:0003566
connective tissue of hind limb	UBERON:0003589
connective tissue of hindlimb	UBERON:0003589
connective tissue of hip	UBERON:0003576
connective tissue of hip region	UBERON:0003576
connective tissue of inferior member	UBERON:0003589
connective tissue of knee	UBERON:0003577
connective tissue of lactiferous gland	UBERON:0003584
connective tissue of larynx	UBERON:0003583
connective tissue of leg	UBERON:0003569
connective tissue of limb	UBERON:0003587
connective tissue of lobar bronchus	UBERON:0003591
connective tissue of lobe of breast	UBERON:0003584
connective tissue of lobe of mammary gland	UBERON:0003584
connective tissue of lower extremity	UBERON:0003589
connective tissue of lower respiratory tract	UBERON:0003580
connective tissue of lung	UBERON:0000114
connective tissue of main bronchus	UBERON:0003590
connective tissue of mammary gland	UBERON:0003584
connective tissue of nasal part of pharynx	UBERON:0003582
connective tissue of nasopharynx	UBERON:0003582
connective tissue of neck	UBERON:0003568
connective tissue of neck (volume)	UBERON:0003568
connective tissue of pectoral cavity	UBERON:0003593
connective tissue of pelvis	UBERON:0003594
connective tissue of post-vent region	UBERON:0003599
connective tissue of primary bronchus	UBERON:0003590
connective tissue of principal bronchus	UBERON:0003590
connective tissue of prostate	UBERON:0015130
connective tissue of prostate gland	UBERON:0015130
connective tissue of proximal segment of free upper limb	UBERON:0003573
connective tissue of regio coxae	UBERON:0003576
connective tissue of respiratory system	UBERON:0003570
connective tissue of rhinopharynx	UBERON:0003582
connective tissue of secondary bronchus	UBERON:0003591
connective tissue of shoulder	UBERON:0003579
connective tissue of skeletal muscle	UBERON:0004857
connective tissue of skeletal muscle tissue	UBERON:0004857
connective tissue of superior member	UBERON:0003588
connective tissue of tail	UBERON:0003599
connective tissue of terminal segment of free lower limb	UBERON:0003595
connective tissue of terminal segment of free upper limb	UBERON:0003598
connective tissue of thoracic cavity	UBERON:0003593
connective tissue of thorax	UBERON:0003837
connective tissue of toe	UBERON:0003578
connective tissue of torso	UBERON:0003586
connective tissue of trachea	UBERON:0003571
connective tissue of trunk	UBERON:0003586
connective tissue of upper extremity	UBERON:0003588
connective tissue of windpipe	UBERON:0003571
connective tissue of wrist	UBERON:0003575
conotruncal cushion	UBERON:0005967
conotruncal ridge	UBERON:0005967
conotruncus	UBERON:0006060
constrictor dorsalis	UBERON:2007050
constrictor laryngis anterior	UBERON:3010621
constrictor laryngis externus	UBERON:3010618
constrictor muscle of pharynx	UBERON:0001569
constrictor muscle of pharynx inferior	UBERON:0001570
constrictor muscle of pharynx superior	UBERON:0006329
constrictor vulvae	UBERON:0011387
constrictor vulvae muscle	UBERON:0011387
constrictores pharyngis caudales	UBERON:0001570
contact organ	UBERON:2002124
contact receptor	UBERON:0035016
content of orbital part of eye	UBERON:0004088
continuous blood vessel endothelium	UBERON:2005259
continuous capillary	UBERON:2005259
continuous capillary vessel	UBERON:2005259
contour hair	UBERON:0006378
conus arteriosus	UBERON:0003983
conus arteriosus (infundibulum)	UBERON:0005953
conus medullaris	UBERON:0005437
convoluted olive	UBERON:0002158
convoluted tubule	UBERON:0006534
copepodite stage	UBERON:0014860
coprodaeum	UBERON:0012420
coprodeal portion of cloaca	UBERON:0012420
coprodeum	UBERON:0012420
copula	UBERON:0010034
copula 2	UBERON:2001222
copula 4	UBERON:2001867
copula linguae	UBERON:0010034
copula pyramidis	UBERON:0005347
copulation plug	UBERON:0010148
copulatory lymph heart	UBERON:0034962
copulatory plug	UBERON:0010148
coraco-scapular cartilage	UBERON:0004753
coracobrachial	UBERON:0001505
coracobrachialis	UBERON:0001505
coracobrachialis muscle	UBERON:0001505
coracoclavicular ligament	UBERON:0034736
coracocïde@fr	UBERON:0004743
coracoid	UBERON:0004743
coracoid bone	UBERON:0004743
coracoid foramen	UBERON:2001737
coracoid plate	UBERON:4200002
coracoid process	UBERON:0006633
coracoid process of scapula	UBERON:0006633
coracoid process of the scapula	UBERON:0006633
coracoids	UBERON:0004743
coracomandibularis	UBERON:0011151
coracoradialis	UBERON:2000492
cord of Billroth	UBERON:0001266
cord of Bilroth	UBERON:0001266
cord of prostate epithelium	UBERON:0009843
core of melon organ	UBERON:0013182
core of nucleus accumbens	UBERON:0012170
core region of nucleus accumbens	UBERON:0012170
cornea	UBERON:0000964
cornea anterior stroma	UBERON:0003952
cornea blood vessel	UBERON:0003500
cornea endothelium	UBERON:0001985
cornea epithelial tissue	UBERON:0001772
cornea epithelium	UBERON:0001772
cornea limbus	UBERON:0006761
cornea of camera-type eye	UBERON:0000964
cornea posterior stroma	UBERON:0003953
corneal blood vessel	UBERON:0003500
corneal endothelium	UBERON:0001985
corneal epithelium	UBERON:0001772
corneal limbus	UBERON:0006761
corneal primordium	UBERON:0005427
corneal stroma	UBERON:0001777
corneal stroma collagen fibril	UBERON:0011865
corneal-scleral limbus	UBERON:0006761
corneo-scleral junction	UBERON:0006761
corneoscleral junction	UBERON:0006761
corniculate cartilage	UBERON:0001741
cornified layer	UBERON:0002027
cornu	UBERON:2001675
cornu ammonis 1	UBERON:0003881
cornu anterius (ventriculi lateralis)	UBERON:0002651
cornu anterius medullaris	UBERON:0023378
cornu anterius ventriculi lateralis	UBERON:0002651
cornu dorsale	UBERON:0002256
cornu frontale (ventriculi lateralis)	UBERON:0002651
cornu frontale ventriculi lateralis	UBERON:0002651
cornu inferius (cartilago thyroidea)	UBERON:0011625
cornu inferius (ventriculi lateralis)	UBERON:0006091
cornu inferius cartilaginis thyroidea	UBERON:0011625
cornu inferius cartilaginis thyroideae	UBERON:0011625
cornu inferius ventriculi lateralis	UBERON:0006091
cornu majus	UBERON:0003997
cornu majus ossis hyoidei	UBERON:0003997
cornu mesial process	UBERON:2001681
cornu minus	UBERON:0003998
cornu minus ossis hyoidei	UBERON:0003998
cornu occipitale (ventriculi lateralis)	UBERON:0004672
cornu occipitale ventriculi lateralis	UBERON:0004672
cornu of thyroid cartilage	UBERON:0011623
cornu posterius (ventriculi lateralis)	UBERON:0004672
cornu posterius medullae spinalis	UBERON:0002256
cornu posterius ventriculi lateralis	UBERON:0004672
cornu superius (cartilago thyroidea)	UBERON:0011624
cornu superius cartilaginis thyroideae	UBERON:0011624
cornu temporale (ventriculi lateralis)	UBERON:0006091
cornu temporale ventriculi lateralis	UBERON:0006091
cornua	UBERON:2001675
cornua majora	UBERON:0003997
cornuae	UBERON:2001675
cornual diverticulum	UBERON:0013074
cornual sinus	UBERON:0013074
corona ciliaris	UBERON:0034935
corona dentis	UBERON:0003675
corona of glans penis	UBERON:0016408
corona of penis	UBERON:0016408
corona radiata	UBERON:0004682
corona radiata of neuraxis	UBERON:0004682
coronal organ	UBERON:0009717
coronal sulcus of brain	UBERON:0013596
coronal suture	UBERON:0002489
coronal suture of skull	UBERON:0002489
coronary arterial tree	UBERON:0001621
